rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL01,D,4,TOTAL - Ambos sexos,TOTAL,Ambos sexos,,,,"['TOTAL', 'Ambos sexos']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL02,E,5,TOTAL - Hombres,TOTAL,Hombres,,,,"['TOTAL', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL03,F,6,TOTAL - Mujeres,TOTAL,Mujeres,,,,"['TOTAL', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL04,G,7,RANGO ETARIO Y SEXO - 15 a 19 años - Hombres,RANGO ETARIO Y SEXO,15 a 19 años,Hombres,,,"['RANGO ETARIO Y SEXO', '15 a 19 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL05,H,8,RANGO ETARIO Y SEXO - 15 a 19 años - Mujeres,RANGO ETARIO Y SEXO,15 a 19 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '15 a 19 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL06,I,9,RANGO ETARIO Y SEXO - 20 a 24 años - Hombres,RANGO ETARIO Y SEXO,20 a 24 años,Hombres,,,"['RANGO ETARIO Y SEXO', '20 a 24 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL07,J,10,RANGO ETARIO Y SEXO - 20 a 24 años - Mujeres,RANGO ETARIO Y SEXO,20 a 24 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '20 a 24 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL08,K,11,RANGO ETARIO Y SEXO - 25 a 29 años - Hombres,RANGO ETARIO Y SEXO,25 a 29 años,Hombres,,,"['RANGO ETARIO Y SEXO', '25 a 29 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL09,L,12,RANGO ETARIO Y SEXO - 25 a 29 años - Mujeres,RANGO ETARIO Y SEXO,25 a 29 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '25 a 29 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL10,M,13,RANGO ETARIO Y SEXO - 30 a 34 años - Hombres,RANGO ETARIO Y SEXO,30 a 34 años,Hombres,,,"['RANGO ETARIO Y SEXO', '30 a 34 años', 'Hombres']",13
