rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL04,G,7,RANGO ETARIO Y SEXO - 15 a 19 años - Hombres,RANGO ETARIO Y SEXO,15 a 19 años,Hombres,,,"['RANGO ETARIO Y SEXO', '15 a 19 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL05,H,8,RANGO ETARIO Y SEXO - 15 a 19 años - Mujeres,RANGO ETARIO Y SEXO,15 a 19 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '15 a 19 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL06,I,9,RANGO ETARIO Y SEXO - 20 a 24 años - Hombres,RANGO ETARIO Y SEXO,20 a 24 años,Hombres,,,"['RANGO ETARIO Y SEXO', '20 a 24 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL07,J,10,RANGO ETARIO Y SEXO - 20 a 24 años - Mujeres,RANGO ETARIO Y SEXO,20 a 24 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '20 a 24 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL08,K,11,RANGO ETARIO Y SEXO - 25 a 29 años - Hombres,RANGO ETARIO Y SEXO,25 a 29 años,Hombres,,,"['RANGO ETARIO Y SEXO', '25 a 29 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL09,L,12,RANGO ETARIO Y SEXO - 25 a 29 años - Mujeres,RANGO ETARIO Y SEXO,25 a 29 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '25 a 29 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL10,M,13,RANGO ETARIO Y SEXO - 30 a 34 años - Hombres,RANGO ETARIO Y SEXO,30 a 34 años,Hombres,,,"['RANGO ETARIO Y SEXO', '30 a 34 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL11,N,14,RANGO ETARIO Y SEXO - 30 a 34 años - Mujeres,RANGO ETARIO Y SEXO,30 a 34 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '30 a 34 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL12,O,15,RANGO ETARIO Y SEXO - 35 a 39 años - Hombres,RANGO ETARIO Y SEXO,35 a 39 años,Hombres,,,"['RANGO ETARIO Y SEXO', '35 a 39 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL13,P,16,RANGO ETARIO Y SEXO - 35 a 39 años - Mujeres,RANGO ETARIO Y SEXO,35 a 39 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '35 a 39 años', 'Mujeres']",17
